Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2023,Pulaski,MO,Passenger,3,0,3,99,102,2.94
August 31 2020,Mercer,NJ,Passenger,0,1,1,13,14,7.14
June 30 2023,Harnett,NC,Passenger,4,0,4,138,142,2.82
August 31 2022,Denton,TX,Passenger,2,0,2,62,64,3.12
June 30 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
March 31 2018,Snohomish,WA,Passenger,2133,1158,3291,517818,521109,0.63
June 30 2023,Kittitas,WA,Passenger,356,106,462,29355,29817,1.55
March 31 2024,Platte,MO,Passenger,2,0,2,17,19,10.53
January 31 2019,Washington,OR,Passenger,0,1,1,482,483,0.21
June 30 2019,Clackamas,OR,Passenger,1,1,2,219,221,0.90
April 30 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
May 31 2022,Spokane,WA,Passenger,1538,831,2369,324759,327128,0.72
August 31 2022,Benton,WA,Passenger,813,470,1283,135190,136473,0.94
May 31 2022,King,WA,Truck,43,1,44,181053,181097,0.02
November 30 2020,San Mateo,CA,Passenger,1,1,2,122,124,1.61
August 31 2019,Dakota,MN,Passenger,0,1,1,35,36,2.78
September 30 2023,Douglas,CO,Passenger,0,2,2,53,55,3.64
September 30 2021,Pacific,WA,Passenger,49,57,106,16059,16165,0.66
October 31 2019,Pinellas,FL,Passenger,1,1,2,117,119,1.68
February 29 2020,San Francisco,CA,Passenger,2,1,3,105,108,2.78
October 31 2020,Harford,MD,Passenger,0,1,1,60,61,1.64
August 31 2021,Arapahoe,CO,Passenger,1,0,1,121,122,0.82
April 30 2023,Isle of Wight,VA,Passenger,0,1,1,19,20,5.00
August 31 2021,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100.00
May 31 2023,King,WA,Truck,685,2,687,175739,176426,0.39
September 30 2023,Island,WA,Truck,34,0,34,20931,20965,0.16
May 31 2020,Columbia,WA,Passenger,4,3,7,2405,2412,0.29
August 31 2020,Maui,HI,Passenger,2,0,2,34,36,5.56
March 31 2023,Mercer,NJ,Passenger,0,1,1,11,12,8.33
April 30 2021,Jefferson,WA,Passenger,310,178,488,24884,25372,1.92
November 30 2019,Travis,TX,Passenger,4,1,5,215,220,2.27
October 31 2023,El Dorado,CA,Passenger,1,0,1,17,18,5.56
July 31 2022,Howard,MD,Passenger,0,2,2,66,68,2.94
August 31 2017,Island,WA,Truck,0,0,0,20515,20515,0.00
May 31 2020,Chesapeake,VA,Passenger,0,1,1,435,436,0.23
October 31 2023,Jefferson,WA,Truck,13,0,13,9274,9287,0.14
June 30 2024,Kern,CA,Passenger,1,1,2,130,132,1.52
February 28 2023,Wake,NC,Passenger,2,0,2,91,93,2.15
July 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
October 31 2018,Cowlitz,WA,Passenger,69,86,155,72154,72309,0.21
October 31 2023,Clallam,WA,Passenger,635,307,942,48994,49936,1.89
August 31 2021,Wahkiakum,WA,Truck,0,0,0,1799,1799,0.00
February 28 2017,Latah,ID,Passenger,0,1,1,134,135,0.74
November 30 2020,Anne Arundel,MD,Passenger,1,1,2,400,402,0.50
November 30 2020,Montgomery,TX,Passenger,1,0,1,51,52,1.92
April 30 2020,Asotin,WA,Passenger,16,12,28,12436,12464,0.22
April 30 2019,Camden,NJ,Passenger,0,1,1,25,26,3.85
February 28 2021,DeKalb,GA,Passenger,1,0,1,67,68,1.47
October 31 2023,Collier,FL,Passenger,1,0,1,13,14,7.14
December 31 2022,Charleston,SC,Passenger,2,2,4,61,65,6.15
September 30 2023,Otero,NM,Passenger,0,1,1,24,25,4.00
April 30 2022,Frederick,MD,Passenger,1,1,2,67,69,2.90
November 30 2019,Franklin,WA,Passenger,53,74,127,60764,60891,0.21
April 30 2019,San Diego,CA,Passenger,11,3,14,2653,2667,0.52
April 30 2019,Cowlitz,WA,Truck,0,0,0,28846,28846,0.00
March 31 2021,Philadelphia,PA,Passenger,1,0,1,60,61,1.64
April 30 2019,Ventura,CA,Passenger,0,2,2,324,326,0.61
February 28 2022,Lincoln,WA,Truck,0,0,0,4841,4841,0.00
August 31 2019,Spartanburg,SC,Passenger,0,1,1,43,44,2.27
November 30 2021,Clark,NV,Passenger,8,2,10,613,623,1.61
August 31 2017,Multnomah,OR,Passenger,1,3,4,940,944,0.42
June 30 2017,Maricopa,AZ,Passenger,1,1,2,1801,1803,0.11
August 31 2020,Garfield,WA,Passenger,0,1,1,1350,1351,0.07
April 30 2022,Pima,AZ,Passenger,1,1,2,266,268,0.75
April 30 2018,Brevard,FL,Passenger,0,1,1,103,104,0.96
May 31 2020,Placer,CA,Passenger,2,0,2,96,98,2.04
November 30 2019,Jefferson,NY,Passenger,0,1,1,211,212,0.47
August 31 2019,Harrison,MS,Passenger,1,0,1,64,65,1.54
March 31 2024,Bartow,GA,Passenger,0,1,1,2,3,33.33
September 30 2022,Danville,VA,Passenger,1,0,1,0,1,100.00
November 30 2023,Chelan,WA,Truck,39,0,39,23129,23168,0.17
March 31 2021,Benton,WA,Passenger,464,368,832,135428,136260,0.61
July 31 2022,Clallam,WA,Truck,3,0,3,21871,21874,0.01
June 30 2023,Cook,IL,Passenger,2,1,3,161,164,1.83
April 30 2023,Thurston,WA,Passenger,2910,1192,4102,190327,194429,2.11
March 31 2022,King,WA,Truck,25,1,26,181900,181926,0.01
January 31 2023,Pierce,WA,Truck,97,0,97,138976,139073,0.07
December 31 2019,Kitsap,WA,Truck,1,0,1,54429,54430,0.00
May 31 2023,Hennepin,MN,Passenger,1,0,1,44,45,2.22
January 31 2022,Sarpy,NE,Passenger,1,0,1,74,75,1.33
January 31 2024,Cache,UT,Passenger,1,0,1,8,9,11.11
April 30 2022,Pierce,WA,Passenger,4829,2257,7086,547939,555025,1.28
April 30 2018,San Diego,CA,Passenger,7,2,9,2565,2574,0.35
May 31 2023,Pend Oreille,WA,Passenger,30,11,41,8885,8926,0.46
July 31 2022,Whatcom,WA,Truck,11,0,11,43184,43195,0.03
May 31 2021,Okaloosa,FL,Passenger,0,1,1,127,128,0.78
March 31 2022,Garfield,WA,Truck,0,0,0,998,998,0.00
November 30 2019,Deschutes,OR,Passenger,4,0,4,161,165,2.42
May 31 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
January 31 2024,Tarrant,TX,Passenger,2,0,2,81,83,2.41
April 30 2023,San Bernardino,CA,Passenger,3,1,4,315,319,1.25
June 30 2019,Pend Oreille,WA,Truck,0,0,0,5732,5732,0.00
May 31 2024,St. Lawrence,NY,Passenger,1,0,1,3,4,25.00
November 30 2020,Chelan,WA,Truck,0,0,0,22764,22764,0.00
July 31 2018,San Juan,WA,Passenger,149,62,211,14109,14320,1.47
March 31 2017,Okanogan,WA,Passenger,3,16,19,25633,25652,0.07
May 31 2024,Prince William,VA,Passenger,2,4,6,130,136,4.41
April 30 2024,Charleston,SC,Passenger,1,2,3,39,42,7.14
February 28 2019,Nueces,TX,Passenger,1,1,2,90,92,2.17
July 31 2019,Bucks,PA,Passenger,1,0,1,24,25,4.00
November 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
August 31 2017,Canyon,ID,Passenger,0,1,1,100,101,0.99
February 29 2020,Cascade,MT,Passenger,0,1,1,60,61,1.64
April 30 2019,Saratoga,NY,Passenger,1,0,1,55,56,1.79
June 30 2021,Kitsap,WA,Truck,0,0,0,54415,54415,0.00
August 31 2023,Los Angeles,CA,Passenger,6,4,10,644,654,1.53
August 31 2020,El Paso,CO,Passenger,3,1,4,713,717,0.56
December 31 2021,Salt Lake,UT,Passenger,1,1,2,177,179,1.12
August 31 2021,Polk,FL,Passenger,1,0,1,69,70,1.43
February 29 2024,Stevens,WA,Truck,3,0,3,18689,18692,0.02
June 30 2023,Jefferson,NY,Passenger,2,0,2,194,196,1.02
February 28 2017,Durham,NC,Passenger,0,1,1,38,39,2.56
February 28 2019,Montgomery,AL,Passenger,0,1,1,47,48,2.08
March 31 2017,Manatee,FL,Passenger,1,0,1,53,54,1.85
October 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,83,84,1.19
June 30 2019,Norfolk,MA,Passenger,1,0,1,40,41,2.44
March 31 2022,Howard,IN,Passenger,0,1,1,6,7,14.29
September 30 2023,Richmond,NY,Passenger,1,0,1,4,5,20.00
October 31 2023,Allen,IN,Passenger,1,0,1,10,11,9.09
September 30 2021,Grant,WA,Passenger,125,97,222,66838,67060,0.33
June 30 2023,Middlesex,MA,Passenger,3,0,3,82,85,3.53
October 31 2022,Collin,TX,Passenger,4,0,4,80,84,4.76
October 31 2022,Kern,CA,Passenger,1,1,2,203,205,0.98
April 30 2018,Spokane,WA,Truck,1,0,1,92038,92039,0.00
May 31 2024,St. Charles,MO,Passenger,1,0,1,19,20,5.00
November 30 2021,Meade,KY,Passenger,1,0,1,25,26,3.85
October 31 2021,Rockdale,GA,Passenger,1,0,1,6,7,14.29
May 31 2023,Chelan,WA,Passenger,620,158,778,54200,54978,1.42
May 31 2017,Stevens,WA,Truck,0,0,0,18250,18250,0.00
June 30 2022,Prince George's,MD,Passenger,3,1,4,136,140,2.86
November 30 2020,Washtenaw,MI,Passenger,1,1,2,32,34,5.88
January 31 2021,Ventura,CA,Passenger,1,2,3,288,291,1.03
July 31 2023,Adams,WA,Truck,3,0,3,5347,5350,0.06
January 31 2017,Hamilton,TN,Passenger,1,0,1,30,31,3.23
January 31 2021,Island,WA,Passenger,527,293,820,62855,63675,1.29
January 31 2018,Stevens,WA,Truck,0,0,0,18385,18385,0.00
July 31 2020,Nassau,FL,Passenger,1,0,1,37,38,2.63
December 31 2022,Okaloosa,FL,Passenger,0,1,1,99,100,1.00
January 31 2020,Columbia,OR,Passenger,1,0,1,28,29,3.45
January 31 2019,Douglas,WA,Truck,0,0,0,12169,12169,0.00
December 31 2022,Alameda,CA,Passenger,5,2,7,186,193,3.63
September 30 2017,Northampton,PA,Passenger,0,1,1,82,83,1.20
June 30 2021,Carroll,NH,Passenger,0,1,1,4,5,20.00
April 30 2023,Clark,WA,Truck,82,0,82,81371,81453,0.10
January 31 2023,Leavenworth,KS,Passenger,0,1,1,90,91,1.10
February 28 2018,Moore,NC,Passenger,0,1,1,195,196,0.51
August 31 2022,Wood,OH,Passenger,0,1,1,5,6,16.67
March 31 2023,Ulster,NY,Passenger,1,0,1,9,10,10.00
October 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
January 31 2021,Platte,MO,Passenger,1,0,1,19,20,5.00
March 31 2021,Garfield,WA,Truck,0,0,0,1009,1009,0.00
December 31 2021,Nassau,NY,Passenger,3,0,3,35,38,7.89
June 30 2020,Kent,MI,Passenger,0,1,1,27,28,3.57
August 31 2023,Kitsap,WA,Passenger,3463,1361,4824,175457,180281,2.68
June 30 2017,Travis,TX,Passenger,1,1,2,197,199,1.01
June 30 2019,Dallas,TX,Passenger,1,0,1,212,213,0.47
May 31 2023,Dorchester,SC,Passenger,1,0,1,47,48,2.08
October 31 2023,Ferry,WA,Truck,0,0,0,3541,3541,0.00
October 31 2018,Walla Walla,WA,Passenger,36,50,86,35992,36078,0.24
May 31 2023,San Juan,WA,Passenger,609,176,785,13808,14593,5.38
June 30 2020,Montgomery,OH,Passenger,0,1,1,48,49,2.04
July 31 2020,Lincoln,WA,Truck,0,0,0,4656,4656,0.00
July 31 2021,Deschutes,OR,Passenger,1,0,1,131,132,0.76
December 31 2022,St. Lawrence,NY,Passenger,1,0,1,4,5,20.00
March 31 2021,Yakima,WA,Passenger,190,135,325,168165,168490,0.19
March 31 2024,Honolulu,HI,Passenger,4,2,6,232,238,2.52
April 30 2020,Frederick,MD,Passenger,1,1,2,70,72,2.78
April 30 2018,Gwinnett,GA,Passenger,0,1,1,83,84,1.19
April 30 2021,Saginaw,MI,Passenger,2,0,2,12,14,14.29
November 30 2018,Franklin,WA,Passenger,38,64,102,58925,59027,0.17
April 30 2023,Whitman,WA,Truck,4,0,4,8583,8587,0.05
June 30 2024,Ferry,WA,Truck,0,0,0,3398,3398,0.00
January 31 2022,Suffolk,MA,Passenger,0,2,2,26,28,7.14
September 30 2021,Wilson,NC,Passenger,1,0,1,0,1,100.00
March 31 2017,Cumberland,NC,Passenger,1,0,1,632,633,0.16
March 31 2021,Wahkiakum,WA,Passenger,9,7,16,3082,3098,0.52
January 31 2021,Fairfax,VA,Passenger,5,2,7,713,720,0.97
May 31 2018,Franklin,WA,Truck,0,0,0,18640,18640,0.00
October 31 2017,Howard,MD,Passenger,0,2,2,89,91,2.20
September 30 2019,New Haven,CT,Passenger,0,2,2,46,48,4.17
June 30 2019,Nassau,NY,Passenger,4,0,4,43,47,8.51
September 30 2021,Wilson,TX,Passenger,0,1,1,3,4,25.00
May 31 2020,Owyhee,ID,Passenger,1,0,1,3,4,25.00
June 30 2021,Ferry,WA,Passenger,9,3,12,4374,4386,0.27
February 29 2024,Multnomah,OR,Passenger,2,1,3,361,364,0.82
October 31 2023,Pima,AZ,Passenger,1,0,1,185,186,0.54
August 31 2018,Cochise,AZ,Passenger,0,1,1,115,116,0.86
July 31 2023,Montgomery,AL,Passenger,0,1,1,34,35,2.86
May 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50.00
March 31 2024,King,WA,Truck,1203,2,1205,170597,171802,0.70
April 30 2019,Yakima,WA,Passenger,93,103,196,164578,164774,0.12
February 28 2017,Cowlitz,WA,Passenger,50,46,96,69046,69142,0.14
June 30 2021,Williams,ND,Passenger,0,1,1,7,8,12.50
December 31 2019,Honolulu,HI,Passenger,4,2,6,503,509,1.18
January 31 2023,Williamson,TX,Passenger,0,2,2,71,73,2.74
January 31 2022,San Joaquin,CA,Passenger,1,1,2,100,102,1.96
December 31 2018,Grant,WA,Passenger,32,52,84,64193,64277,0.13
June 30 2021,Franklin,WA,Passenger,123,97,220,61977,62197,0.35
April 30 2019,Skamania,WA,Passenger,21,16,37,8705,8742,0.42
February 29 2024,Kittitas,WA,Truck,24,0,24,14608,14632,0.16
August 31 2020,Collier,FL,Passenger,1,0,1,22,23,4.35
September 30 2023,Allen,IN,Passenger,1,0,1,10,11,9.09
January 31 2022,Carroll,NH,Passenger,0,1,1,4,5,20.00
July 31 2018,King,WA,Truck,7,1,8,182935,182943,0.00
September 30 2023,Pacific,WA,Passenger,83,97,180,15518,15698,1.15
July 31 2018,Bexar,TX,Passenger,2,4,6,745,751,0.80
August 31 2021,Placer,CA,Passenger,2,0,2,75,77,2.60
September 30 2018,Eagle,CO,Passenger,1,0,1,5,6,16.67
January 31 2022,Prince George's,MD,Passenger,2,1,3,153,156,1.92
May 31 2022,Allegheny,PA,Passenger,2,1,3,69,72,4.17
September 30 2020,Broward,FL,Passenger,1,1,2,113,115,1.74
November 30 2023,Beaufort,SC,Passenger,1,0,1,27,28,3.57
February 29 2024,Autauga,AL,Passenger,2,1,3,9,12,25.00
May 31 2020,Benton,WA,Passenger,353,321,674,134119,134793,0.50
January 31 2020,San Juan,WA,Passenger,265,83,348,14396,14744,2.36
February 29 2024,Whatcom,WA,Truck,102,0,102,42401,42503,0.24
February 29 2024,Klickitat,WA,Truck,16,0,16,8169,8185,0.20
July 31 2023,Palm Beach,FL,Passenger,1,1,2,50,52,3.85
October 31 2020,Collier,FL,Passenger,1,0,1,22,23,4.35
April 30 2023,Kitsap,WA,Truck,63,0,63,52411,52474,0.12
February 29 2024,Grant,WA,Truck,18,0,18,28014,28032,0.06
April 30 2022,Lake,IL,Passenger,3,0,3,154,157,1.91
May 31 2018,Orleans,LA,Passenger,0,1,1,47,48,2.08
November 30 2018,Gwinnett,GA,Passenger,0,1,1,79,80,1.25
May 31 2024,Richland,SC,Passenger,0,1,1,87,88,1.14
September 30 2019,Collin,TX,Passenger,2,1,3,146,149,2.01
October 31 2021,Santa Cruz,CA,Passenger,1,0,1,30,31,3.23
March 31 2018,Caddo,LA,Passenger,0,1,1,23,24,4.17
June 30 2022,Wood,OH,Passenger,0,1,1,6,7,14.29
February 28 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
February 28 2023,Napa,CA,Passenger,0,1,1,12,13,7.69
November 30 2020,Clark,WA,Passenger,2286,1140,3426,318671,322097,1.06
June 30 2021,El Paso,TX,Passenger,3,0,3,397,400,0.75
March 31 2019,Collin,TX,Passenger,1,1,2,153,155,1.29
April 30 2019,Multnomah,OR,Passenger,4,5,9,768,777,1.16
September 30 2023,Frederick,MD,Passenger,2,1,3,50,53,5.66
December 31 2023,Oldham,KY,Passenger,0,1,1,2,3,33.33
October 31 2017,Pinal,AZ,Passenger,2,0,2,226,228,0.88
November 30 2021,New York,NY,Passenger,2,0,2,46,48,4.17
May 31 2019,San Joaquin,CA,Passenger,1,0,1,140,141,0.71
June 30 2023,Newport,RI,Passenger,0,1,1,61,62,1.61
October 31 2018,Hawaii,HI,Passenger,1,0,1,71,72,1.39
October 31 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
January 31 2017,Bexar,TX,Passenger,3,3,6,1262,1268,0.47
April 30 2020,Chelan,WA,Truck,0,0,0,22454,22454,0.00
February 29 2020,Klamath,OR,Passenger,1,0,1,39,40,2.50
March 31 2018,Juneau,AK,Passenger,0,1,1,44,45,2.22
June 30 2022,Berkeley,SC,Passenger,0,1,1,124,125,0.80
June 30 2019,Travis,TX,Passenger,4,1,5,213,218,2.29
January 31 2024,Contra Costa,CA,Passenger,2,2,4,149,153,2.61
April 30 2024,San Joaquin,CA,Passenger,1,0,1,63,64,1.56
August 31 2022,Grant,WA,Truck,1,0,1,27976,27977,0.00
April 30 2021,Kitsap,WA,Truck,0,0,0,54528,54528,0.00
January 31 2018,Montgomery,MD,Passenger,1,0,1,304,305,0.33
April 30 2020,Flathead,MT,Passenger,1,0,1,70,71,1.41
June 30 2022,Suffolk,MA,Passenger,0,1,1,22,23,4.35
December 31 2022,Palm Beach,FL,Passenger,1,1,2,58,60,3.33
February 29 2024,Sacramento,CA,Truck,1,0,1,27,28,3.57
September 30 2022,San Mateo,CA,Passenger,1,0,1,84,85,1.18
June 30 2024,Collier,FL,Passenger,1,0,1,8,9,11.11
March 31 2017,Benton,WA,Passenger,140,139,279,127916,128195,0.22
July 31 2021,Skagit,WA,Passenger,609,281,890,91801,92691,0.96
January 31 2021,Pend Oreille,WA,Passenger,12,3,15,9173,9188,0.16
February 28 2017,Bergen,NJ,Passenger,0,2,2,32,34,5.88
March 31 2017,Jefferson,NY,Passenger,1,1,2,259,261,0.77
July 31 2017,Dale,AL,Passenger,0,1,1,63,64,1.56
March 31 2021,Larimer,CO,Passenger,1,0,1,47,48,2.08
June 30 2022,Boone,MO,Passenger,0,1,1,9,10,10.00
May 31 2018,Clallam,WA,Passenger,119,110,229,49788,50017,0.46
November 30 2023,Pacific,WA,Truck,5,0,5,7835,7840,0.06
June 30 2020,Duval,FL,Passenger,0,2,2,365,367,0.54
February 28 2022,Howard,MD,Passenger,0,2,2,66,68,2.94
March 31 2020,Charleston,SC,Passenger,1,0,1,111,112,0.89
January 31 2018,El Paso,TX,Passenger,1,0,1,518,519,0.19
May 31 2018,Utah,UT,Passenger,0,1,1,144,145,0.69
January 31 2018,Flathead,MT,Passenger,1,0,1,58,59,1.69
May 31 2017,Pinal,AZ,Passenger,2,0,2,256,258,0.78
October 31 2019,Jefferson,WA,Truck,0,0,0,9667,9667,0.00
March 31 2018,Skamania,WA,Truck,0,0,0,3925,3925,0.00
February 28 2023,Montgomery,PA,Passenger,1,0,1,22,23,4.35
January 31 2024,Meade,KY,Passenger,1,0,1,16,17,5.88
June 30 2023,St. Louis,MO,Passenger,1,0,1,53,54,1.85
November 30 2023,Gwinnett,GA,Passenger,1,0,1,41,42,2.38
February 28 2023,Middlesex,MA,Passenger,3,0,3,82,85,3.53
September 30 2018,Flathead,MT,Passenger,1,0,1,57,58,1.72
April 30 2022,Clinton,PA,Passenger,1,0,1,1,2,50.00
April 30 2019,Kitsap,WA,Passenger,1008,575,1583,180141,181724,0.87
August 31 2020,Grays Harbor,WA,Truck,0,0,0,21027,21027,0.00
May 31 2022,Lake,IL,Passenger,3,0,3,153,156,1.92
October 31 2020,Prince William,VA,Passenger,2,3,5,225,230,2.17
July 31 2019,Dale,AL,Passenger,0,1,1,54,55,1.82
August 31 2022,Fort Bend,TX,Passenger,1,0,1,26,27,3.70
May 31 2020,Skagit,WA,Passenger,401,216,617,91134,91751,0.67
May 31 2024,Spokane,WA,Passenger,3282,1581,4863,317897,322760,1.51
August 31 2019,Orange,CA,Passenger,6,3,9,541,550,1.64
August 31 2017,Skagit,WA,Truck,1,0,1,31507,31508,0.00
February 29 2020,Calvert,MD,Passenger,0,2,2,92,94,2.13
September 30 2023,Essex,MA,Passenger,1,0,1,11,12,8.33
June 30 2023,King,WA,Passenger,57648,14685,72333,1324162,1396495,5.18
February 28 2023,Kittitas,WA,Passenger,319,92,411,29508,29919,1.37
July 31 2019,Multnomah,OR,Passenger,5,6,11,760,771,1.43
October 31 2022,Klickitat,WA,Truck,3,0,3,8242,8245,0.04
March 31 2020,Cochise,AZ,Passenger,0,1,1,105,106,0.94
May 31 2020,Columbia,OR,Passenger,1,0,1,27,28,3.57
July 31 2021,Essex,NJ,Passenger,1,0,1,13,14,7.14
May 31 2018,Arlington,VA,Passenger,1,2,3,174,177,1.69
December 31 2017,Santa Clara,CA,Passenger,7,1,8,391,399,2.01
April 30 2019,Orange,CA,Passenger,6,1,7,547,554,1.26
October 31 2017,Moore,NC,Passenger,0,1,1,198,199,0.50
July 31 2021,Harnett,NC,Passenger,1,1,2,181,183,1.09
August 31 2018,New Haven,CT,Passenger,0,1,1,48,49,2.04
June 30 2017,Manatee,FL,Passenger,1,0,1,47,48,2.08
March 31 2019,DeKalb,GA,Passenger,1,0,1,82,83,1.20
December 31 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
May 31 2019,Pierce,WA,Passenger,1751,1519,3270,541805,545075,0.60
January 31 2024,Pacific,WA,Passenger,98,100,198,15537,15735,1.26
February 29 2020,Sacramento,CA,Passenger,1,1,2,296,298,0.67
May 31 2020,Fairfax,VA,Passenger,5,2,7,746,753,0.93
May 31 2021,Ventura,CA,Passenger,1,2,3,285,288,1.04
October 31 2022,Henrico,VA,Passenger,0,1,1,11,12,8.33
July 31 2021,Sacramento,CA,Passenger,2,1,3,247,250,1.20
April 30 2024,Jefferson,NY,Passenger,2,0,2,165,167,1.20
March 31 2019,Asotin,WA,Truck,0,0,0,6629,6629,0.00
September 30 2023,Montgomery,MD,Passenger,6,3,9,180,189,4.76
November 30 2021,Jefferson,WA,Passenger,371,195,566,24771,25337,2.23
April 30 2024,Maricopa,AZ,Passenger,9,3,12,548,560,2.14
July 31 2019,Lincoln,WA,Truck,0,0,0,4684,4684,0.00
November 30 2022,Orange,NC,Passenger,0,1,1,6,7,14.29
April 30 2021,Danville,VA,Passenger,1,0,1,0,1,100.00
September 30 2018,Grant,WA,Truck,0,0,0,26064,26064,0.00
December 31 2018,Lincoln,WA,Truck,0,0,0,4638,4638,0.00
November 30 2022,Palm Beach,FL,Passenger,1,1,2,58,60,3.33
November 30 2021,Louisa,VA,Passenger,0,1,1,1,2,50.00
May 31 2024,Franklin,WA,Truck,15,0,15,20559,20574,0.07
October 31 2019,Asotin,WA,Truck,0,0,0,6694,6694,0.00
August 31 2019,Grant,WA,Passenger,45,61,106,65161,65267,0.16
November 30 2021,Goochland,VA,Passenger,3,2,5,216,221,2.26
March 31 2022,Stafford,VA,Passenger,2,1,3,94,97,3.09
June 30 2023,Arapahoe,CO,Passenger,1,1,2,81,83,2.41
August 31 2021,Kitsap,WA,Passenger,1953,887,2840,180420,183260,1.55
December 31 2023,Alameda,CA,Passenger,5,2,7,149,156,4.49
March 31 2019,Caddo,LA,Passenger,0,1,1,25,26,3.85
May 31 2022,Monterey,CA,Passenger,0,3,3,151,154,1.95
October 31 2019,San Francisco,CA,Passenger,2,1,3,104,107,2.80
July 31 2019,Tulsa,OK,Passenger,1,1,2,53,55,3.64
September 30 2018,Ferry,WA,Passenger,2,2,4,4408,4412,0.09
January 31 2022,Honolulu,HI,Passenger,4,4,8,401,409,1.96
January 31 2019,Alexandria,VA,Passenger,1,0,1,160,161,0.62
January 31 2023,New London,CT,Passenger,3,3,6,185,191,3.14
May 31 2021,Washington,MD,Passenger,1,0,1,11,12,8.33
September 30 2021,Los Angeles,CA,Passenger,6,9,15,920,935,1.60
December 31 2022,Montgomery,MD,Passenger,4,3,7,196,203,3.45
March 31 2023,Palm Beach,FL,Passenger,1,1,2,54,56,3.57
October 31 2021,Lincoln,WA,Passenger,7,16,23,7701,7724,0.30
February 28 2022,Wahkiakum,WA,Truck,0,0,0,1813,1813,0.00
September 30 2022,Washoe,NV,Passenger,1,0,1,67,68,1.47
July 31 2022,Wake,NC,Passenger,1,0,1,97,98,1.02
November 30 2019,San Juan,WA,Passenger,243,78,321,14400,14721,2.18
October 31 2019,Skamania,WA,Truck,0,0,0,4099,4099,0.00
November 30 2017,Dallas,TX,Passenger,0,1,1,189,190,0.53
April 30 2024,Richland,SC,Passenger,0,1,1,89,90,1.11
March 31 2024,Collier,FL,Passenger,1,0,1,10,11,9.09
December 31 2018,Washington,OR,Passenger,0,1,1,482,483,0.21
November 30 2018,DeKalb,GA,Passenger,1,0,1,79,80,1.25
August 31 2021,Yakima,WA,Passenger,249,163,412,168824,169236,0.24
February 28 2018,Clark,WA,Truck,0,0,0,78545,78545,0.00
August 31 2018,Dakota,MN,Passenger,0,2,2,34,36,5.56
April 30 2023,Hillsborough,FL,Passenger,1,2,3,122,125,2.40
March 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
January 31 2018,Kitsap,WA,Passenger,707,402,1109,176373,177482,0.62
June 30 2022,Multnomah,OR,Passenger,1,3,4,568,572,0.70
August 31 2022,Fairfax,VA,Passenger,7,2,9,642,651,1.38
November 30 2020,Spokane,WA,Truck,0,0,0,100332,100332,0.00
October 31 2017,Pacific,WA,Truck,0,0,0,7517,7517,0.00
March 31 2017,Maricopa,AZ,Passenger,1,1,2,1873,1875,0.11
October 31 2018,Ferry,WA,Truck,0,0,0,3564,3564,0.00
October 31 2020,New York,NY,Passenger,2,0,2,64,66,3.03
July 31 2019,Hillsborough,FL,Passenger,0,1,1,206,207,0.48
April 30 2021,Kitsap,WA,Passenger,1733,812,2545,180367,182912,1.39
June 30 2023,Whatcom,WA,Passenger,2492,881,3373,147839,151212,2.23
August 31 2020,Jefferson,WA,Passenger,250,144,394,24640,25034,1.57
May 31 2021,Alameda,CA,Passenger,4,0,4,252,256,1.56
November 30 2021,San Luis Obispo,CA,Passenger,1,0,1,64,65,1.54
August 31 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
June 30 2017,Yakima,WA,Passenger,45,57,102,159380,159482,0.06
January 31 2020,Skamania,WA,Passenger,29,18,47,8760,8807,0.53
June 30 2019,Columbia,WA,Passenger,2,2,4,2450,2454,0.16
December 31 2020,Lane,OR,Passenger,0,1,1,149,150,0.67
January 31 2017,Whatcom,WA,Truck,2,0,2,41331,41333,0.00
January 31 2021,Gwinnett,GA,Passenger,1,0,1,69,70,1.43
June 30 2024,Lewis,WA,Truck,17,0,17,24854,24871,0.07
December 31 2017,Shelby,TN,Passenger,0,1,1,106,107,0.93
April 30 2024,Marion,OR,Passenger,1,0,1,42,43,2.33
September 30 2017,Snohomish,WA,Passenger,1912,974,2886,514288,517174,0.56
December 31 2023,Whitman,WA,Truck,7,0,7,8649,8656,0.08
June 30 2022,Flathead,MT,Passenger,1,0,1,37,38,2.63
February 28 2017,Clallam,WA,Truck,0,0,0,21023,21023,0.00
